Auction Lot,Vendor,Forecasted Qty,  Initial Quote for BOC  ,  Target Price  ,  Pre-Bid Price  ,  Bid Price  ,  Target Spend  ,  Current Spend  ,  Pre-Bid Spend  , Bid Spend ,% Delta to Target
Lot 1,Vendor J,19,222263.71,155584.6,210136.86,179761.99,2956107.37,4223010.53,3992600.25,3415477.78,15.50%
Lot 1,Vendor J,24,222263.71,155584.6,210136.86,179761.99,3734030.36,5334329.09,5043284.53,4314287.71,15.50%
Lot 1,Vendor J,21,222263.71,155584.6,210136.86,179761.99,3267276.57,4667537.95,4412873.97,3775001.75,15.50%
Lot 1,Vendor J,7,17503.2,12252.24,16283.02,14393.86,85765.68,122522.4,113981.18,100757.0,17.50%
Lot 1,Vendor J,31,57206.85,40044.8,50532.08,40097.47,1241388.71,1773412.44,1566494.32,1243021.73,0.10%
Lot 1,Vendor J,41,54598.2,38218.74,48129.59,38087.13,1566968.43,2238526.32,1973313.29,1561572.39,-0.30%
Lot 1,Vendor J,52,114481.87,80137.31,111203.38,96049.65,4167139.98,5953057.11,5782575.94,4994581.88,19.90%
Lot 1,Vendor J,18,817022.45,571915.71,800688.93,762926.62,10294482.84,14706404.06,14412400.79,13732679.17,33.40%
Lot 1,Vendor J,8,17503.2,12252.24,16283.02,14393.86,98017.92,140025.6,130264.2,115150.86,17.50%
Lot 1,Vendor J,39,57206.85,40044.8,50532.08,40097.47,1561747.09,2231067.27,1970750.93,1563801.53,0.10%
Lot 1,Vendor J,1,814.57,666.47,814.57,696.75,666.47,814.57,814.57,696.75,4.50%
Lot 1,Vendor J,7,632.98,520.52,632.98,632.98,3643.63,4430.83,4430.83,4430.83,21.60%
Lot 1,Vendor J,7,554.21,441.75,554.21,554.21,3092.28,3879.48,3879.48,3879.48,25.50%
Lot 1,Vendor J,8,632.98,520.52,632.98,613.98,4164.15,5063.81,5063.81,4911.89,18.00%
Lot 1,Vendor J,1,781.75,646.27,781.75,624.22,646.27,781.75,781.75,624.22,-3.40%
Lot 1,Vendor J,4,781.75,646.27,781.75,624.22,2585.09,3127.01,3127.01,2496.9,-3.40%
Lot 1,Vendor J,2,1120.04,938.27,1120.04,928.41,1876.55,2240.07,2240.07,1856.83,-1.10%
Lot 1,Vendor J,2,76.58,70.45,76.58,57.43,140.9,153.15,153.15,114.86,-18.50%
Lot 1,Vendor J,4,1120.04,938.27,1120.04,928.41,3753.09,4480.15,4480.15,3713.66,-1.10%
Lot 1,Vendor J,1,814.57,666.47,814.57,696.75,666.47,814.57,814.57,696.75,4.50%
Lot 1,Vendor J,3,71.38,65.66,71.38,38.54,197.0,214.13,214.13,115.63,-41.30%
Lot 1,Vendor J,1,71.38,65.66,71.38,38.54,65.66,71.38,71.38,38.54,-41.30%
Lot 1,Vendor J,3,1120.04,938.27,1120.04,928.41,2814.82,3360.11,3360.11,2785.24,-1.10%
Lot 1,Vendor J,1,1120.04,938.27,1120.04,928.41,938.27,1120.04,1120.04,928.41,-1.10%
Lot 1,Vendor J,3,34.73,31.95,34.73,30.21,95.86,104.19,104.19,90.64,-5.40%
Lot 1,Vendor J,1,34.73,31.95,34.73,30.21,31.95,34.73,34.73,30.21,-5.40%
Lot 1,Vendor J,3,311.36,286.45,311.36,309.8,859.34,934.07,934.07,929.39,8.20%
Lot 1,Vendor J,1,311.36,286.45,311.36,309.8,286.45,311.36,311.36,309.8,8.20%
Lot 1,Vendor J,3,34.73,31.95,34.73,30.21,95.86,104.19,104.19,90.64,-5.40%
Lot 1,Vendor J,1,34.73,31.95,34.73,30.21,31.95,34.73,34.73,30.21,-5.40%
Lot 1,Vendor J,3,76.58,70.45,76.58,57.43,211.35,229.73,229.73,172.3,-18.50%
Lot 1,Vendor J,1,76.58,70.45,76.58,57.43,70.45,76.58,76.58,57.43,-18.50%
Lot 1,Vendor J,10,76.58,70.45,76.58,57.43,704.5,765.76,765.76,574.32,-18.50%
Lot 1,Vendor J,4,76.58,70.45,76.58,57.43,281.8,306.31,306.31,229.73,-18.50%
Lot 1,Vendor J,5,76.58,70.45,76.58,57.43,352.25,382.88,382.88,287.16,-18.50%
Lot 1,Vendor J,3,76.58,70.45,76.58,57.43,211.35,229.73,229.73,172.3,-18.50%
Lot 1,Vendor J,7,76.58,70.45,76.58,57.43,493.15,536.04,536.04,402.03,-18.50%
Lot 1,Vendor J,2,76.58,70.45,76.58,57.43,140.9,153.15,153.15,114.86,-18.50%
Lot 1,Vendor J,8,76.58,70.45,76.58,57.43,563.6,612.61,612.61,459.46,-18.50%
Lot 1,Vendor J,4,76.58,70.45,76.58,57.43,281.8,306.31,306.31,229.73,-18.50%
Lot 1,Vendor J,4,645.43,520.05,645.43,523.79,2080.19,2581.72,2581.72,2095.18,0.70%
Lot 1,Vendor J,7,645.43,520.05,645.43,523.79,3640.33,4518.01,4518.01,3666.55,0.70%
Lot 1,Vendor J,3,599.15,483.02,599.15,519.94,1449.06,1797.44,1797.44,1559.8,7.60%
Lot 1,Vendor J,5,599.15,483.02,599.15,519.94,2415.11,2995.74,2995.74,2599.67,7.60%
Lot 1,Vendor J,2,599.15,483.02,599.15,519.94,966.04,1198.3,1198.3,1039.87,7.60%
Lot 1,Vendor J,4,599.15,483.02,599.15,519.94,1932.08,2396.59,2396.59,2079.73,7.60%
Lot 1,Vendor J,7,599.15,483.02,599.15,519.94,3381.15,4194.04,4194.04,3639.54,7.60%
Lot 1,Vendor J,1,554.21,441.75,599.15,519.94,441.75,554.21,599.15,519.94,17.70%
Lot 1,Vendor J,5,554.21,441.75,599.15,519.94,2208.77,2771.06,2995.74,2599.67,17.70%
Lot 1,Vendor J,42,1953.12,1554.25,1779.77,1576.4,65278.52,82031.1,74750.45,66208.67,1.40%
Lot 1,Vendor J,23,1953.12,1554.25,1779.77,1576.4,35747.76,44921.79,40934.77,36257.13,1.40%
Lot 1,Vendor J,18,1953.12,1554.25,1779.77,1576.4,27976.51,35156.19,32035.91,28375.14,1.40%
Lot 1,Vendor J,35,1953.12,1554.25,1779.77,1576.4,54398.77,68359.25,62292.04,55173.89,1.40%
Lot 1,Vendor J,2,632.98,520.52,632.98,613.98,1041.04,1265.95,1265.95,1227.98,18.00%
Lot 1,Vendor J,4,1120.04,938.27,1120.04,928.41,3753.09,4480.15,4480.15,3713.66,-1.10%
Lot 1,Vendor J,2,599.15,483.02,599.15,519.94,966.04,1198.3,1198.3,1039.87,7.60%
Lot 1,Vendor J,7,814.57,666.47,814.57,696.75,4665.28,5702.0,5702.0,4877.28,4.50%
Lot 1,Vendor J,1,814.57,666.47,814.57,696.75,666.47,814.57,814.57,696.75,4.50%
Lot 1,Vendor J,3,645.43,520.05,645.43,523.79,1560.14,1936.29,1936.29,1571.38,0.70%
Lot 1,Vendor J,2,554.21,441.75,645.43,523.79,883.51,1108.42,1290.86,1047.58,18.60%
Lot 1,Vendor J,4,689.19,571.38,689.19,531.1,2285.51,2756.75,2756.75,2124.39,-7.00%
Lot 1,Vendor J,8,632.98,520.52,689.19,531.1,4164.15,5063.81,5513.51,4248.78,2.00%
Lot 1,Vendor J,1,1120.04,938.27,1120.04,928.41,938.27,1120.04,1120.04,928.41,-1.10%
Lot 1,Vendor J,2,1120.04,938.27,1120.04,928.41,1876.55,2240.07,2240.07,1856.83,-1.10%
Lot 1,Vendor J,1,781.75,646.27,781.75,624.22,646.27,781.75,781.75,624.22,-3.40%
Lot 1,Vendor J,9,781.75,646.27,781.75,624.22,5816.45,7035.78,7035.78,5618.02,-3.40%
Lot 1,Vendor J,4,781.75,646.27,781.75,624.22,2585.09,3127.01,3127.01,2496.9,-3.40%
Lot 1,Vendor J,1,554.21,441.75,554.21,554.21,441.75,554.21,554.21,554.21,25.50%
Lot 1,Vendor J,4,76.58,70.45,76.58,57.43,281.8,306.31,306.31,229.73,-18.50%
Lot 1,Vendor J,5,632.98,520.52,632.98,613.98,2602.59,3164.88,3164.88,3069.94,18.00%
Lot 1,Vendor J,2,632.98,520.52,632.98,613.98,1041.04,1265.95,1265.95,1227.98,18.00%
Lot 1,Vendor J,2,554.21,441.75,554.21,554.21,883.51,1108.42,1108.42,1108.42,25.50%
Lot 1,Vendor J,3,554.21,441.75,554.21,554.21,1325.26,1662.64,1662.64,1662.64,25.50%
Lot 3,Vendor J,52,54598.2,38218.74,48129.59,38087.13,1987374.59,2839106.56,2502738.81,1980530.84,-0.30%
Lot 3,Vendor J,9,107564.74,75295.32,98146.67,51071.47,677657.85,968082.64,883320.03,459643.21,-32.20%
Lot 3,Vendor J,18,68231.34,47761.94,61172.0,44101.5,859714.94,1228164.2,1101096.02,793827.01,-7.70%
Lot 3,Vendor J,18,68231.34,47761.94,61172.0,44101.5,859714.94,1228164.2,1101096.02,793827.01,-7.70%
Lot 3,Vendor J,45,114481.87,80137.31,111203.38,96049.65,3606178.83,5151684.04,5004152.26,4322234.32,19.90%
Lot 3,Vendor J,15,817022.45,571915.71,800688.93,762926.62,8578735.7,12255336.72,12010334.0,11443899.31,33.40%
Lot 3,Vendor J,7,17503.2,12252.24,16283.02,14393.86,85765.68,122522.4,113981.18,100757.0,17.50%
Lot 3,Vendor J,34,57206.85,40044.8,50532.08,40097.47,1361523.1,1945033.0,1718090.55,1363314.15,0.10%
Lot 3,Vendor J,45,54598.2,38218.74,48129.59,38087.13,1719843.39,2456919.14,2165831.66,1713920.92,-0.30%
Lot 3,Vendor J,8,107564.74,75295.32,98146.67,51071.47,602362.53,860517.9,785173.36,408571.74,-32.20%
Lot 3,Vendor J,15,68231.34,47761.94,61172.0,44101.5,716429.12,1023470.17,917580.02,661522.5,-7.70%
Lot 3,Vendor J,15,68231.34,47761.94,61172.0,44101.5,716429.12,1023470.17,917580.02,661522.5,-7.70%
Lot 3,Vendor J,3,1120.04,938.27,1120.04,928.41,2814.82,3360.11,3360.11,2785.24,-1.10%
Lot 3,Vendor J,2,1120.04,938.27,1120.04,928.41,1876.55,2240.07,2240.07,1856.83,-1.10%
Lot 3,Vendor J,3,34.73,31.95,34.73,30.21,95.86,104.19,104.19,90.64,-5.40%
Lot 3,Vendor J,2,34.73,31.95,34.73,30.21,63.9,69.46,69.46,60.43,-5.40%
Lot 3,Vendor J,3,34.73,31.95,34.73,30.21,95.86,104.19,104.19,90.64,-5.40%
Lot 3,Vendor J,3,34.73,31.95,34.73,30.21,95.86,104.19,104.19,90.64,-5.40%
Lot 3,Vendor J,3,71.38,65.66,71.38,38.54,197.0,214.13,214.13,115.63,-41.30%
Lot 3,Vendor J,2,71.38,65.66,71.38,38.54,131.33,142.75,142.75,77.09,-41.30%
Lot 3,Vendor J,2,34.73,31.95,34.73,30.21,63.9,69.46,69.46,60.43,-5.40%
Lot 3,Vendor J,3,34.73,31.95,34.73,30.21,95.86,104.19,104.19,90.64,-5.40%
Lot 3,Vendor J,2,34.73,31.95,34.73,30.21,63.9,69.46,69.46,60.43,-5.40%
Lot 3,Vendor J,20,2648.2,2238.39,2474.85,2400.61,44767.8,52964.01,49497.03,48012.12,7.20%
Lot 3,Vendor J,40,1953.12,1554.25,1779.77,1576.4,62170.02,78124.86,71190.9,63055.88,1.40%
Lot 3,Vendor J,12,1953.12,1554.25,1779.77,1576.4,18651.01,23437.46,21357.27,18916.76,1.40%
Lot 3,Vendor J,18,2240.07,1826.06,2066.72,1999.42,32868.99,40321.31,37201.03,35989.57,9.50%
Lot 3,Vendor J,35,2240.07,1826.06,2066.72,1999.42,63911.93,78402.56,72335.34,69979.73,9.50%
Lot 3,Vendor J,7,689.19,571.38,689.19,531.1,3999.65,4824.32,4824.32,3717.68,-7.00%
Lot 3,Vendor J,29,689.19,571.38,689.19,531.1,16569.98,19986.47,19986.47,15401.83,-7.00%
Lot 3,Vendor J,5,599.15,483.02,599.15,519.94,2415.11,2995.74,2995.74,2599.67,7.60%
Lot 3,Vendor J,4,599.15,483.02,599.15,519.94,1932.08,2396.59,2396.59,2079.73,7.60%
Lot 3,Vendor J,5,599.15,483.02,599.15,519.94,2415.11,2995.74,2995.74,2599.67,7.60%
Lot 3,Vendor J,1,781.75,646.27,781.75,624.22,646.27,781.75,781.75,624.22,-3.40%
Lot 3,Vendor J,5,689.19,571.38,689.19,531.1,2856.89,3445.94,3445.94,2655.49,-7.00%
Lot 3,Vendor J,10,689.19,571.38,689.19,531.1,5713.78,6891.89,6891.89,5310.98,-7.00%
Lot 3,Vendor J,4,689.19,571.38,689.19,531.1,2285.51,2756.75,2756.75,2124.39,-7.00%
Lot 3,Vendor J,16,689.19,571.38,689.19,531.1,9142.06,11027.02,11027.02,8497.56,-7.00%
Lot 3,Vendor J,3,554.21,441.75,554.21,554.21,1325.26,1662.64,1662.64,1662.64,25.50%
Lot 3,Vendor J,37,689.19,571.38,689.19,531.1,21141.0,25499.97,25499.97,19650.61,-7.00%
Lot 3,Vendor J,1,1120.04,938.27,1120.04,928.41,938.27,1120.04,1120.04,928.41,-1.10%
Lot 3,Vendor J,12,814.57,666.47,814.57,696.75,7997.62,9774.86,9774.86,8361.04,4.50%
Lot 3,Vendor J,8,599.15,483.02,599.15,519.94,3864.17,4793.18,4793.18,4159.48,7.60%
Lot 3,Vendor J,1,781.75,646.27,781.75,624.22,646.27,781.75,781.75,624.22,-3.40%
Lot 3,Vendor J,1,781.75,646.27,781.75,624.22,646.27,781.75,781.75,624.22,-3.40%
